Name,Type,Grouping Date,Strike,Strike Key,expirationDate,Previous
"FDR CATTLE","Put","202606",100,1,2026-08-27 00:00:00.000,0.0125
"FDR CATTLE","Put","202606",101,1.01,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",102,1.02,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",103,1.03,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",104,1.04,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",105,1.05,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",106,1.06,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",107,1.07,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",108,1.08,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",109,1.09,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",110,1.1,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",111,1.11,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",112,1.12,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",113,1.13,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",114,1.14,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",115,1.15,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",116,1.16,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",117,1.17,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",118,1.18,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",119,1.19,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",120,1.2,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",121,1.21,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",122,1.22,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",123,1.23,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",124,1.24,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",125,1.25,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",126,1.26,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",127,1.27,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",128,1.28,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",129,1.29,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",130,1.3,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",131,1.31,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",132,1.32,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",133,1.33,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",134,1.34,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",135,1.35,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",136,1.36,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",137,1.37,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",138,1.38,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",139,1.39,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",140,1.4,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",141,1.41,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",142,1.42,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",143,1.43,2026-08-27 00:00:00.000,0.08125
"FDR CATTLE","Put","202606",144,1.44,2026-08-27 00:00:00.000,0.15
"FDR CATTLE","Put","202606",145,1.45,2026-08-27 00:00:00.000,0.16249999999999998
"FDR CATTLE","Put","202606",146,1.46,2026-08-27 00:00:00.000,0.175
"FDR CATTLE","Put","202606",147,1.47,2026-08-27 00:00:00.000,0.175
"FDR CATTLE","Put","202606",148,1.48,2026-08-27 00:00:00.000,0.175
"FDR CATTLE","Put","202606",149,1.49,2026-08-27 00:00:00.000,0.1875
"FDR CATTLE","Put","202606",150,1.5,2026-08-27 00:00:00.000,0.2
"FDR CATTLE","Put","202606",151,1.51,2026-08-27 00:00:00.000,0.2
"FDR CATTLE","Put","202606",152,1.52,2026-08-27 00:00:00.000,0.2
"FDR CATTLE","Put","202606",153,1.53,2026-08-27 00:00:00.000,0.21250000000000002
"FDR CATTLE","Put","202606",154,1.54,2026-08-27 00:00:00.000,0.225
"FDR CATTLE","Put","202606",155,1.55,2026-08-27 00:00:00.000,0.2375
"FDR CATTLE","Put","202606",156,1.56,2026-08-27 00:00:00.000,0.25
"FDR CATTLE","Put","202606",157,1.57,2026-08-27 00:00:00.000,0.25
"FDR CATTLE","Put","202606",158,1.58,2026-08-27 00:00:00.000,0.25
"FDR CATTLE","Put","202606",159,1.59,2026-08-27 00:00:00.000,0.2625
"FDR CATTLE","Put","202606",160,1.6,2026-08-27 00:00:00.000,0.275
"FDR CATTLE","Put","202606",161,1.61,2026-08-27 00:00:00.000,0.2875
